year,ev_sales,total_vehicle_sales,ev_sales_share
2010,50637.0,125042988.97032754,0.04049567306169886
2011,84050.0,135428056.64203972,0.06206247219670219
2012,2133128.0,140871458.34346974,1.5142371812457947
2013,2525040.0,142869532.1328883,1.7673747245503444
2014,3151055.0,149206641.46727976,2.1118731505601307
2015,3418000.0,150516717.59612936,2.2708440993054824
2016,4027000.0,157068375.04600662,2.563851570260696
2017,4980000.0,166294736.84210527,2.994682871249525
2018,7251000.0,161643995.2348077,4.4857837060182995
2019,8834000.0,160551895.42483658,5.502270762126066
2020,11938000.0,142020764.18205452,8.405813099763945
2021,17806000.0,148669762.13750404,11.976880667590835
2022,20018000.0,145893207.28291318,13.720995221649693
2023,24416000.0,160169386.16938618,15.24386187893547
2024,27072000.0,164767857.14285713,16.43038907553918
2025,32940000.0,174372222.22222224,18.890623506547293
